route_id,stop_id,lateness,scheduled_headway,time_point_order,earliness,actual,scheduled,point_type,standard_type,direction,pct_white,pct_black,pct_asian,pct_hispanic
01,2,3.9183605922861195,11.326797788601846,2.000985276005956,-25.974048442906575,1900-01-01 05:02:07+00:00,1900-01-01 04:38:00+00:00,Midpoint,Schedule,outbound,0.057253136056609845,0.31457060147957544,0.03859761981344484,0.5802508845287874
01,12,3.1456896551724136,,,,1900-01-01 10:05:59+00:00,1900-01-01 07:22:00+00:00,Pullback,,inbound,,,,
01,59,5.853760660550747,11.444940976659716,7.004100474811638,-50.782828282828284,1900-01-01 05:28:26+00:00,1900-01-01 05:28:00+00:00,Midpoint,Schedule,inbound,0.5452368281000533,0.1729643427354976,0.14555614688664184,0.08142629058009579
01,62,6.114949891936824,11.439360847041792,8.004009949498757,-43.0,1900-01-01 05:33:38+00:00,1900-01-01 05:32:00+00:00,Midpoint,Schedule,inbound,0.057253136056609845,0.31457060147957544,0.03859761981344484,0.5802508845287874
01,64,3.6035299479373974,11.412198244290902,4.941871768555992,171.00675105485232,1900-01-01 05:34:00+00:00,1900-01-01 05:33:00+00:00,Endpoint,Schedule,inbound,0.35845437106056455,0.1542888462592491,0.28528363935324746,0.13894217593861333
01,67,3.508977244112229,11.44226005996661,2.0009491918685898,-25.046712802768166,1900-01-01 05:35:21+00:00,1900-01-01 05:33:00+00:00,Midpoint,Headway,inbound,,,,
01,72,3.9834651708809834,11.439552492947266,3.001589202461381,-21.168096054888508,1900-01-01 05:39:52+00:00,1900-01-01 05:36:00+00:00,Midpoint,Headway,inbound,,,,
01,75,4.38677017635374,11.446374666812414,4.002210364992639,-64.490756302521,1900-01-01 05:19:34+00:00,1900-01-01 05:19:00+00:00,Midpoint,Schedule,inbound,,,,
01,79,5.092981111404487,11.445750106158005,5.002846749960462,-4.142857142857143,1900-01-01 05:23:20+00:00,1900-01-01 05:22:00+00:00,Midpoint,Schedule,inbound,0.58000858000858,0.05491205491205491,0.17503217503217502,0.11068211068211069
01,93,5.956796906480506,11.318654667667952,5.002833932301322,-83.77348993288591,1900-01-01 04:50:06+00:00,1900-01-01 04:45:00+00:00,Midpoint,Schedule,outbound,0.7005097706032285,0.022090059473237042,0.10067969413763807,0.08198810535259134
01,97,6.147535706553516,11.3180893057915,6.00351656419198,-76.97647058823529,1900-01-01 04:53:19+00:00,1900-01-01 04:48:00+00:00,Midpoint,Schedule,outbound,,,,
01,102,6.639859014972848,11.320138202141148,7.004188277960702,-42.06020066889632,1900-01-01 04:59:14+00:00,1900-01-01 04:51:00+00:00,Midpoint,Schedule,outbound,,,,
01,108,6.515308680481102,11.321796213100294,8.004859357566504,-68.83779264214047,1900-01-01 05:00:54+00:00,1900-01-01 04:52:00+00:00,Midpoint,Schedule,outbound,,,,
01,110,3.646664076423993,11.382214634065285,5.055077017467208,4.4492627927146575,1900-01-01 05:29:57+00:00,1900-01-01 05:30:00+00:00,Startpoint,Headway,inbound,,,,
01,187,5.587530737839363,11.446779264888859,6.0034374741154055,-63.81818181818182,1900-01-01 05:25:58+00:00,1900-01-01 05:25:00+00:00,Midpoint,Schedule,inbound,0.44475831763967355,0.07658505963590709,0.19883866917765222,0.2150031387319523
01,188,5.487262314261404,11.318951930654059,4.002191855256781,-102.44612794612794,1900-01-01 04:46:57+00:00,1900-01-01 04:43:00+00:00,Midpoint,Schedule,outbound,0.7029616724738676,0.042682926829268296,0.1559233449477352,0.09320557491289198
01,10590,4.797656129132072,11.323632675353046,3.0015904850060973,-13.787878787878787,1900-01-01 04:44:19+00:00,1900-01-01 04:41:00+00:00,Midpoint,Schedule,outbound,0.590849098108227,0.13550373955125386,0.09986801583809943,0.14254289485261767
04,14,6.163333333333333,,,,1900-01-01 09:18:54+00:00,1900-01-01 07:34:00+00:00,Pullout,,inbound,0.8618119266055045,0.020068807339449542,0.0194954128440367,0.07282110091743119
04,113,5.339335655991983,27.919022154316274,4.005740021193924,-410.6694915254237,1900-01-01 15:57:20+00:00,1900-01-01 15:48:00+00:00,Startpoint,Schedule,inbound,0.7531227038941954,0.055106539309331376,0.027920646583394562,0.0683321087435709
04,114,4.637334915839448,17.953012395503027,2.5039771053406845,-342.3708905695323,1900-01-01 06:44:19+00:00,1900-01-01 06:44:00+00:00,Startpoint,Schedule,inbound,0.6363636363636364,0.04272489912176596,0.13838120104438642,0.12556373130785664
04,115,4.840947791164659,,3.0,-212.57686746987952,1900-01-01 15:45:36+00:00,1900-01-01 15:35:00+00:00,Midpoint,Schedule,outbound,,,,
04,117,8.19192662259056,28.12375859434683,6.007769733356878,-380.2664783427495,1900-01-01 15:55:28+00:00,1900-01-01 15:44:00+00:00,Midpoint,Schedule,outbound,0.6003372681281619,0.0699831365935919,0.19561551433389546,0.06281618887015177
04,190,7.401480790169544,27.980901451489686,5.006360985952822,-352.40157728706623,1900-01-01 15:53:18+00:00,1900-01-01 15:42:00+00:00,Midpoint,Schedule,outbound,0.6003372681281619,0.0699831365935919,0.19561551433389546,0.06281618887015177
04,210,4.618904950648947,18.895169578622816,3.511795543905636,,1900-01-01 07:10:35+00:00,1900-01-01 07:00:00+00:00,Endpoint,Schedule,inbound,0.7611853573503777,0.05113306217315514,0.06333527019174898,0.019755955839628123
04,214,4.388415300546448,28.0,2.0021199540676617,-169.18105939004815,1900-01-01 15:43:57+00:00,1900-01-01 15:33:00+00:00,Midpoint,Schedule,outbound,0.8421225024566,0.023910907304290862,0.09826400262037341,0.023583360628889615
